Q1. Consent to participate,Q2.What is your current year of study?,Q3. What is your gender?,Q4.What is your department?,Q5. I trust the AI tutor to give me accurate answers about my course content.,"
Q6. I would use the Nyansapo AI tutor to prepare for my end-of-semester exams",Q7. I feel confident that the AI tutor's answers come directly from my KNUST lecture notes.,Q8. I would recommend this AI tutor to my classmates.,Q9. The AI tutor helped me find information faster than searching through my lecture slides manually,Q10. Seeing the source passage highlighted alongside the answer made me trust the response more.,Q11. I felt the AI tutor understood the intent of my question.,Q12. How mentally demanding was it to find the information you needed using the AI tutor?*,Q13. How hard did you have to work to arrive at the answer you were looking for?,Q14. How frustrated did you feel while searching for answers with the AI tutor?
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Medical imaging ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Medical sciences,4,5,3,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Bsc.Computer Science ,4,4,4,5,4,4,4,2,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,3,3,4,4,2,3,5,4,3,4
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Female,Medicine,4,5,3,5,5,4,4,3,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science ,5,5,5,5,5,5,2,3,3,4
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Business ,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer Science ,2,2,2,1,3,3,2,3,5,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,4,4,4,4,4,4,4,4,4,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Biomedical Engineering,4,4,4,4,4,3,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Biological science ,4,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",2nd year,Male,Chemistry ,4,5,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Female,Optometry ,4,3,4,3,4,4,5,1,2,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Optometry ,4,4,4,4,4,4,4,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Department of Architecture ,4,3,3,4,4,4,3,2,3,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Business,3,2,3,4,5,4,4,1,1,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Land Economy,5,3,5,5,5,5,5,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,4,4,4,4,4,4,4,2,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Animal science,4,4,3,4,3,5,4,4,3,4
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",1st year,Male,Land economy ,4,3,4,4,4,3,4,5,4,4
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Female,Economics ,5,3,3,2,3,5,5,4,4,5
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",3rd year,Male,Agriculture ,5,4,4,5,3,5,5,3,4,3
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,4,4,4,4,4,4,4,1,2,2
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Male,Computer science ,5,5,5,5,5,5,5,1,1,1
"I agree to participate in this study and understand that my responses are completely anonymous, used solely for academic research, and may be published in aggregate form. I understand I may withdraw at any time without consequence.",4th year,Female,Computer science ,5,5,5,5,5,5,5,1,1,1
